category,image,augmentation,label,predicted,match,selected_category,route_hint,route_confidence,component_count,line_count,fraction_line_count,foreground_fill_ratio,candidate_scores,router_reason,reject_info,layout_type,sympy_text,solver_answer,solver_error,token_count,low_confidence_count,unknown_count,failure_stage,failure_reason,warnings,top2_labels,top2_scores,decision_type,num_holes,aspect_ratio
printed_basic,printed_basic_001.png,none,1+2=3,1+2=3,True,printed_basic,printed_basic,0.680,6,0,0,0.2257,printed_basic:0.538:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.538; complexity=0.17, confidence=0.16, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 648, 'height': 160, 'aspect_ratio': 4.05, 'foreground_components': 6, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1136, 'foreground_fill_ratio': 0.2257}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,1+2**=3,,,5,0,0,,,"auto route hint: printed_basic confidence=0.68 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.538; complexity=0.17, confidence=0.16, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 648, 'height': 160, 'aspect_ratio': 4.05, 'foreground_components': 6, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1136, 'foreground_fill_ratio': 0.2257}",,,,,
printed_basic,printed_basic_002.png,none,8-3=5,8-3=5,True,printed_basic,printed_basic,0.680,6,1,0,0.2624,printed_basic:0.581:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.581; confidence=0.20, complexity=0.17, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 610, 'height': 160, 'aspect_ratio': 3.8125, 'foreground_components': 6, 'left_tall_components': 1, 'long_horizontal_lines': 1, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1123, 'foreground_fill_ratio': 0.2624}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,8**-3**=5,,,5,0,0,,,"auto route hint: printed_basic confidence=0.68 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.581; confidence=0.20, complexity=0.17, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 610, 'height': 160, 'aspect_ratio': 3.8125, 'foreground_components': 6, 'left_tall_components': 1, 'long_horizontal_lines': 1, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1123, 'foreground_fill_ratio': 0.2624}",,,,,
printed_basic,printed_basic_003.png,none,4x5=20,4x5=20,True,printed_basic,printed_basic,0.760,7,0,0,0.2605,printed_basic:0.418:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.418; complexity=0.17, structure=0.15, category_prior=0.06; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 806, 'height': 160, 'aspect_ratio': 5.0375, 'foreground_components': 7, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1102, 'foreground_fill_ratio': 0.2605}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,4x5**=20,,,6,0,0,,,"auto route hint: printed_basic confidence=0.76 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.418; complexity=0.17, structure=0.15, category_prior=0.06; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 806, 'height': 160, 'aspect_ratio': 5.0375, 'foreground_components': 7, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1102, 'foreground_fill_ratio': 0.2605}",,,,,
printed_basic,printed_basic_004.png,none,9÷3=3,9÷3=3,True,printed_basic,printed_basic,0.680,8,0,0,0.2509,printed_basic:0.491:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.491; confidence=0.16, structure=0.15, complexity=0.12; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 655, 'height': 160, 'aspect_ratio': 4.0938, 'foreground_components': 8, 'left_tall_components': 1, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 4, 'edge_roughness': 0.1162, 'foreground_fill_ratio': 0.2509}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,9/3**=3,,,5,0,0,,,"auto route hint: printed_basic confidence=0.68 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.491; confidence=0.16, structure=0.15, complexity=0.12; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 655, 'height': 160, 'aspect_ratio': 4.0938, 'foreground_components': 8, 'left_tall_components': 1, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 4, 'edge_roughness': 0.1162, 'foreground_fill_ratio': 0.2509}",,,,,
printed_basic,printed_basic_005.png,none,6÷2=3,6÷2=3,True,printed_basic,printed_basic,0.680,8,0,0,0.2549,printed_basic:0.476:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.476; structure=0.15, confidence=0.14, complexity=0.12; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 656, 'height': 160, 'aspect_ratio': 4.1, 'foreground_components': 8, 'left_tall_components': 1, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 4, 'edge_roughness': 0.1137, 'foreground_fill_ratio': 0.2549}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,6/2**=3,,,5,0,0,,,"auto route hint: printed_basic confidence=0.68 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.476; structure=0.15, confidence=0.14, complexity=0.12; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 656, 'height': 160, 'aspect_ratio': 4.1, 'foreground_components': 8, 'left_tall_components': 1, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 4, 'edge_roughness': 0.1137, 'foreground_fill_ratio': 0.2549}",,,,,
printed_basic,printed_basic_006.png,none,7+8=15,7+8=15,True,printed_basic,printed_basic,0.680,7,0,0,0.2335,printed_basic:0.548:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.548; complexity=0.17, confidence=0.17, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 800, 'height': 160, 'aspect_ratio': 5.0, 'foreground_components': 7, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1122, 'foreground_fill_ratio': 0.2335}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,7+8**=15,,,6,0,0,,,"auto route hint: printed_basic confidence=0.68 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.548; complexity=0.17, confidence=0.17, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 800, 'height': 160, 'aspect_ratio': 5.0, 'foreground_components': 7, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1122, 'foreground_fill_ratio': 0.2335}",,,,,
printed_basic,printed_basic_007.png,none,12+34=46,12+34=46,True,printed_basic,printed_basic,0.760,9,0,0,0.2556,printed_basic:0.514:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.514; complexity=0.18, structure=0.15, confidence=0.13; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 1059, 'height': 160, 'aspect_ratio': 6.6188, 'foreground_components': 9, 'left_tall_components': 3, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1103, 'foreground_fill_ratio': 0.2556}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,12+34**=46,,,8,0,0,,,"auto route hint: printed_basic confidence=0.76 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.514; complexity=0.18, structure=0.15, confidence=0.13; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 1059, 'height': 160, 'aspect_ratio': 6.6188, 'foreground_components': 9, 'left_tall_components': 3, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1103, 'foreground_fill_ratio': 0.2556}",,,,,
printed_basic,printed_basic_008.png,none,56-21=35,56-21=35,True,printed_basic,printed_basic,0.760,9,0,0,0.2594,printed_basic:0.567:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.567; confidence=0.18, complexity=0.18, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 1020, 'height': 160, 'aspect_ratio': 6.375, 'foreground_components': 9, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1127, 'foreground_fill_ratio': 0.2594}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,56**-21**=35,,,8,0,0,,,"auto route hint: printed_basic confidence=0.76 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.567; confidence=0.18, complexity=0.18, structure=0.15; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 1020, 'height': 160, 'aspect_ratio': 6.375, 'foreground_components': 9, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1127, 'foreground_fill_ratio': 0.2594}",,,,,
printed_basic,printed_basic_009.png,none,3x12=36,3x12=36,True,printed_basic,printed_basic,0.760,8,0,0,0.2501,printed_basic:0.441:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.441; complexity=0.18, structure=0.15, category_prior=0.06; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 936, 'height': 160, 'aspect_ratio': 5.85, 'foreground_components': 8, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1104, 'foreground_fill_ratio': 0.2501}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,3x12**=36,,,7,0,0,,,"auto route hint: printed_basic confidence=0.76 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.76; selected printed_basic; score=0.441; complexity=0.18, structure=0.15, category_prior=0.06; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 936, 'height': 160, 'aspect_ratio': 5.85, 'foreground_components': 8, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 1, 'edge_roughness': 0.1104, 'foreground_fill_ratio': 0.2501}",,,,,
printed_basic,printed_basic_010.png,none,48÷6=8,48÷6=8,True,printed_basic,printed_basic,0.680,9,0,0,0.2773,printed_basic:0.503:primary;printed_decimal_negative:reject:fallback_not_needed:fallback;printed_2d_layout:reject:fallback_not_needed:fallback;handwritten_basic:reject:fallback_not_needed:fallback;calculus:reject:route_prior:skipped,"route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.503; confidence=0.16, structure=0.15, complexity=0.13; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 798, 'height': 160, 'aspect_ratio': 4.9875, 'foreground_components': 9, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 4, 'edge_roughness': 0.111, 'foreground_fill_ratio': 0.2773}",printed_decimal_negative:fallback_not_needed:primary route printed_basic passed validation | printed_2d_layout:fallback_not_needed:primary route printed_basic passed validation | handwritten_basic:fallback_not_needed:primary route printed_basic passed validation | calculus:route_prior:structure route selected printed_basic,row,48/6**=8,,,6,0,0,,,"auto route hint: printed_basic confidence=0.68 | auto selected category: printed_basic | auto router reason: route_hint=printed_basic; route_confidence=0.68; selected printed_basic; score=0.503; confidence=0.16, structure=0.15, complexity=0.13; reason=flat or mostly linear expression without strong two-dimensional markers; features={'width': 798, 'height': 160, 'aspect_ratio': 4.9875, 'foreground_components': 9, 'left_tall_components': 2, 'long_horizontal_lines': 0, 'fraction_like_lines': 0, 'stacked_component_pairs': 4, 'edge_roughness': 0.111, 'foreground_fill_ratio': 0.2773}",,,,,
